wind_speed;wind_direction;air_temperature;air_relhumidity;smp10;pqsl;soil_moisture;soil_tempblue;soil_tempred;air_pressure;precipitation;created_at
1.53;180;18.62;48.65;938;1565.86;0.13;24.43;22.79;1014.22;0;2022-05-12T10:44:07.766Z
0.63;215;18.63;48.88;945;1580.52;0.13;24.43;22.81;1014.22;0;2022-05-12T10:44:18.745Z
1.59;228;18.65;49.15;947;1576.31;0.13;24.43;22.82;1014.22;0;2022-05-12T10:44:29.704Z
2.12;308;18.68;48.91;950;1591.75;0.13;24.43;22.84;1014.22;0;2022-05-12T10:44:40.608Z
1.04;260;18.68;48.54;960;1605.33;0.13;24.43;22.88;1014.19;0;2022-05-12T10:44:51.523Z
0.93;298;18.71;48.59;908;1520.93;0.13;24.43;22.9;1014.16;0;2022-05-12T10:45:02.436Z
0.91;218;18.73;48.7;590;949.47;0.13;24.43;22.93;1014.19;0;2022-05-12T10:45:13.361Z
1.95;270;18.76;48.71;789;1390.82;0.13;24.43;22.95;1014.22;0;2022-05-12T10:45:24.309Z
1.95;268;18.77;48.71;945;1599.55;0.13;24.43;22.96;1014.22;0;2022-05-12T10:45:35.232Z
2.84;228;18.79;48.67;959;1600.65;0.13;24.43;22.99;1014.25;0;2022-05-12T10:45:46.322Z
3.43;213;18.8;47.99;968;1610.94;3.58;28.24;23.03;1013.97;0;2022-05-12T10:45:57.204Z
2.05;155;18.8;47.6;964;1603.92;0.13;24.3;23.04;1014.16;0;2022-05-12T10:46:08.119Z
1.86;188;18.8;47.37;950;1585.51;0.13;24.3;23.06;1014.19;0;2022-05-12T10:46:19.176Z
2.01;230;18.8;47.56;975;1622.33;0.13;24.3;23.07;1014.22;0;2022-05-12T10:46:30.111Z
2.93;258;18.82;47.55;974;1614.22;0.13;24.3;23.09;1014.19;0;2022-05-12T10:46:41.038Z
3.1;265;18.82;47.19;965;1604.39;0.13;24.3;23.12;1014.22;0;2022-05-12T10:46:51.961Z
2.23;255;18.8;46.85;945;1571.47;0.13;24.43;23.14;1014.25;0;2022-05-12T10:47:02.875Z
2.21;248;18.8;46.85;940;1559.93;0.13;24.43;23.17;1014.22;0;2022-05-12T10:47:13.811Z
1.79;228;18.8;46.99;930;1545.89;0.13;24.43;23.18;1014.19;0;2022-05-12T10:47:24.726Z
1.16;270;18.82;47.07;924;1538.87;0.13;24.43;23.2;1014.19;0;2022-05-12T10:47:36.266Z
1.61;360;18.82;47.13;926;1540.43;0.13;24.43;23.22;1014.16;0;2022-05-12T10:47:48.364Z
2.14;175;18.85;47.09;933;1553.06;0.13;24.43;23.25;1014.22;0;2022-05-12T10:48:01.680Z
1.7;275;18.85;47.25;919;1531.22;0.13;24.56;23.28;1014.25;0;2022-05-12T10:48:17.476Z
2.97;148;18.88;47.44;919;1527.79;0.13;24.56;23.31;1014.16;0;2022-05-12T10:48:35.807Z
2.33;155;18.9;47.57;903;1502.67;0.13;24.56;23.33;1014.13;0;2022-05-12T10:48:46.753Z
1.63;135;18.91;47.54;915;1520.46;0.13;24.56;23.34;1014.13;0;2022-05-12T10:48:58.226Z
1.07;155;18.91;47.54;907;1505.17;0.13;24.56;23.34;1014.13;0;2022-05-12T10:49:09.227Z
0.95;325;18.93;47.64;913;1518.12;0.13;24.56;23.36;1014.16;0;2022-05-12T10:49:20.172Z
1.09;270;18.96;47.98;935;1558.21;0.13;24.56;23.37;1014.16;0;2022-05-12T10:49:31.100Z
1.15;195;18.98;47.99;928;1543.39;0.13;24.56;23.39;1014.16;0;2022-05-12T10:49:42.101Z
1.15;255;19.01;47.85;931;1549.94;0.13;24.56;23.4;1014.16;0;2022-05-12T10:49:53.015Z
